Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
2/15/2020,10.948,66,86,8.6,0
9/11/2019,9.639,67,86,2.4,0.01
3/14/2017,9.158,69,86,5.4,0
12/23/2019,4.95,71,86,3.8,0
3/19/2019,10.795,72,86,6.2,0
2/29/2020,10.557,74,86,7.8,0
11/30/2017,7.817,77,86,5,0
7/4/2017,10.487,80,86,4.5,0
10/23/2019,9.956,80,86,9.2,0
1/5/2017,16.642,87,86,7.1,0
10/22/2018,9.709,65,87,6.4,0
10/17/2019,8.779,67,87,6.6,0
9/3/2020,8.551,74,87,9,0
3/31/2020,13.883,75,87,10.9,0.02
2/4/2020,11.968,75,87,10.5,0
11/12/2016,10.974,75,87,8.4,0
11/4/2020,13.309,76,87,12.2,0
3/30/2018,6.02,77,87,9.2,0
10/1/2017,8.897,77,87,10.4,0
10/4/2017,16.727,79,87,12.1,0
2/20/2018,11.896,79,87,14.6,0
5/11/2016,30.718,80,87,6.4,0
3/13/2020,16.101,80,87,9.7,0
11/21/2019,9.263,80,87,11,0
3/25/2017,13.44,80,87,6.2,1.28
11/30/2019,11.819,81,87,10.1,0
10/5/2020,12.806,82,87,6.6,0
3/18/2020,17.623,82,87,10.7,0
3/24/2018,14.149,82,87,10,0
5/24/2017,12.427,83,87,9.1,0.02
12/5/2020,15.777,83,87,13.4,0
4/28/2020,15.744,83,87,10.3,0
4/13/2018,14.547,83,87,14.2,0
8/10/2019,17.085,83,87,7.7,0
4/17/2018,8.458,83,87,11.5,0
10/5/2017,18.148,83,87,11,0.02
4/22/2020,16.744,84,87,10.9,0
8/9/2017,19.341,84,87,6.5,0
6/5/2020,19.904,85,87,9.1,0.25
9/6/2017,23.069,85,87,4.8,0
8/30/2017,25.931,85,87,14.8,0.91
3/4/2018,12.83,85,87,11.2,0
2/5/2018,16.391,85,87,14.5,0
7/2/2017,11.572,85,87,8.2,0
1/5/2019,20.794,86,87,15.5,0
9/13/2017,18.2,86,87,4.8,0
3/24/2020,17.808,87,87,8,0
9/28/2016,32.142,88,87,2.8,0
8/10/2016,27.436,88,87,9.3,0
10/10/2019,23.906,91,87,10,0
3/9/2016,5.886,92,87,8,0
5/10/2019,25.183,93,87,3.8,0
5/18/2020,31.937,94,87,4.1,0.01
5/19/2020,26.068,94,87,7.4,0
7/26/2017,17.133,95,87,7.2,0
9/15/2019,31.896,96,87,6,0
8/27/2019,33.749,97,87,6.4,0
2/9/2019,42.027,98,87,6.8,0
7/9/2019,38.221,98,87,5.2,0
8/15/2019,40.959,98,87,4.8,0
10/8/2016,57.28,99,87,5.7,0
7/26/2018,43.071,100,87,5.8,0
4/1/2018,10.94,54,88,3.1,0
8/11/2019,11.021,54,88,10.9,0
12/19/2019,13.371,59,88,4.5,0
5/29/2019,16.828,84,88,8,0
4/23/2020,23.88,88,88,9.2,0
5/21/2019,28.195,88,88,16,0
12/4/2020,18.011,89,88,11.8,0
5/22/2019,33.152,89,88,17.2,0
4/24/2020,18.105,91,88,8.7,0
6/30/2017,15.902,92,88,10.8,0.17
