StartDate,Value__kWh_,day_of_week,notes
5/2/2020 18:00:00,0.744,5,COVID_lockdown
7/9/2017 0:00:00,0.744,6,weekend
3/1/2020 18:00:00,0.744,6,weekend
2/19/2018 22:00:00,0.869,0,weekday
3/16/2020 4:00:00,0.869,0,COVID_lockdown
7/11/2018 4:00:00,0.869,2,weekday
10/20/2016 4:00:00,0.869,3,weekday
6/29/2017 3:00:00,0.869,3,weekday
6/23/2017 4:00:00,0.869,4,weekday
4/8/2017 21:00:00,0.869,5,weekend
3/5/2017 20:00:00,0.869,6,weekend
8/13/2017 20:00:00,0.869,6,weekend
1/21/2019 20:00:00,0.994,0,weekday
1/16/2018 11:00:00,0.994,1,weekday
9/7/2016 5:00:00,0.994,2,weekday
6/14/2017 3:00:00,0.994,2,weekday
3/13/2019 6:00:00,0.994,2,weekday
2/11/2016 23:00:00,0.994,3,weekday
7/28/2017 14:00:00,0.994,4,weekday
6/28/2019 0:00:00,0.994,4,weekday
4/27/2019 23:00:00,0.994,5,weekend
7/20/2019 7:00:00,0.994,5,weekend
6/18/2017 1:00:00,0.994,6,weekend
5/25/2020 18:00:00,1.363,0,COVID_lockdown
7/18/2017 0:00:00,1.363,1,weekday
5/18/2017 23:00:00,1.363,3,weekday
9/23/2018 17:00:00,1.363,6,weekend
6/26/2017 18:00:00,1.488,0,weekday
4/10/2018 2:00:00,1.488,1,weekday
12/7/2016 1:00:00,1.488,2,weekday
8/29/2018 1:00:00,1.488,2,weekday
5/14/2018 2:00:00,1.613,0,weekday
6/16/2020 1:00:00,1.613,1,COVID_lockdown
8/31/2017 19:00:00,1.613,3,weekday
6/25/2020 0:00:00,1.613,3,COVID_lockdown
10/6/2019 2:00:00,1.613,6,weekend
8/14/2017 2:00:00,1.738,0,weekday
