predicted_total_kwh_per_day,Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
19.04658996,10/21/2016,16.286,76,77,9.5,0
19.64968242,10/25/2017,10.419,76,77,4.5,0
15.84325011,9/5/2020,11.96,72,78,11.9,0
24.25029338,4/25/2017,16.305,84,78,12.5,0
26.87674463,5/13/2017,32.658,87,78,8.3,0
27.37831106,7/24/2019,25.092,88,78,10,0
0.2394280451,8/1/2017,15.666,49,79,5.8,0
0.777180019,1/30/2019,12.368,50,79,7.2,0
5.214151326,12/21/2019,7.25,56,79,5.6,0.02
4.896268706,10/12/2016,11.821,56,79,8.2,0
17.30681341,2/28/2020,10.771,73,79,4.9,0
23.42010595,9/4/2017,19.294,83,79,12.8,0
27.64072067,5/30/2020,19.688,88,79,7.1,0
32.56292202,8/6/2020,42.939,95,79,7.3,0
33.98821959,3/9/2019,37.499,97,79,7.2,0
1.560248515,12/29/2018,12.392,52,80,11.7,0
3.46802006,12/20/2019,13.689,54,80,7.6,0
10.66687903,2/12/2019,10.598,64,80,6.5,0
11.88926244,11/23/2019,7.884,66,80,8.1,0.01
15.1751471,12/10/2019,7.853,71,80,11,0.49
15.76939946,4/14/2019,11.035,72,80,11.4,0.19
22.81206305,10/13/2019,9.48,81,80,5.4,0
12.27718388,4/20/2018,12.418,67,81,10,0
17.89897248,11/11/2016,14.389,74,81,4.4,0
21.3596907,10/17/2017,12.349,79,81,5,0
24.61535749,11/9/2017,18.65,84,81,7.3,0
25.3581609,9/9/2017,22.967,85,81,7,0
26.03286776,3/4/2017,17.506,86,81,7.3,0.02
27.56244743,9/30/2017,27.954,88,81,6.3,0
28.99980686,7/25/2019,28.983,90,81,6.1,0
30.34067149,7/31/2017,16.53,92,81,6.7,0
-7.662840155,1/18/2018,14.004,38,82,4.7,0
2.719314507,1/13/2018,11.542,53,82,6.5,0
5.218422894,2/21/2020,11.738,57,82,10.1,0.5
7.429433806,12/18/2019,12.579,59,82,2.6,0
7.254309222,11/12/2019,13.174,60,82,10.3,0.22
7.677701399,1/21/2020,13.095,60,82,6.4,0
11.4037803,11/20/2016,11.783,65,82,4.8,0
14.16994251,4/1/2020,12.287,69,82,5.3,0
15.69173488,3/14/2018,8.607,71,82,4.4,0
18.40964969,11/12/2017,9.881,75,82,5.3,0
19.72639062,1/30/2017,10.38,77,82,6.1,0
23.88869546,3/19/2020,16.37,84,82,12.6,0
25.1330653,5/17/2017,20.39,86,82,14,0
27.0046513,7/23/2019,23.594,88,82,10.2,0
27.8680732,3/5/2020,19.499,89,82,8.9,0
28.22489744,6/29/2020,31.602,90,82,11.8,0
28.10427894,4/26/2017,23.155,90,82,12.8,0
29.63110256,6/7/2020,39.9,91,82,6,0
30.21710193,6/14/2020,28.844,92,82,7,0
30.51361692,6/30/2020,39.537,93,82,10.4,0
32.54903756,11/7/2016,43.727,96,82,11.1,0
32.60934681,12/7/2019,39.877,96,82,10.6,0
-6.12917587,11/13/2018,14.435,42,83,14.8,0.06
-2.799762492,12/11/2019,13.149,47,83,16.4,0.01
3.912485876,1/30/2020,11.62,55,83,7.6,0
8.07982196,7/3/2020,12.418,61,83,8.2,0
8.044694273,12/28/2018,10.061,61,83,9.2,0.4
9.010583718,3/2/2017,8.719,63,83,12.2,0
9.866975013,2/22/2020,14.461,63,83,5.1,0
11.21990149,1/12/2016,12.981,65,83,5.6,0
13.31563138,11/13/2016,11.448,68,83,5.8,0
13.98103246,4/14/2020,9.255,70,83,12,0
14.71680526,3/18/2019,9.141,70,83,5.9,0
15.25455724,4/15/2020,8.234,71,83,7.3,0
16.10591729,7/2/2020,11.848,72,83,6.1,0
17.75535876,4/16/2020,8.948,75,83,10,0
19.14950203,3/21/2018,8.727,76,83,4.3,0
19.36158407,4/26/2018,9.942,77,83,8.4,0
21.36081917,4/27/2017,15.352,80,83,9.4,0
25.55731019,6/5/2017,23.462,85,83,3.9,0
17.64598832,4/30/2017,12.64,75,84,10.2,0.01
17.43879961,3/2/2020,8.387,75,84,11.9,0
17.84890248,11/11/2017,21.588,75,84,8.5,0
17.88005679,11/27/2019,10.366,76,84,14.1,0
19.4792515,3/26/2019,15.197,77,84,6.7,0
22.64345473,9/30/2016,29.563,81,84,3.9,0
23.04852636,7/9/2017,18.501,82,84,6.4,0
23.48978354,3/30/2020,12.382,83,84,8.6,0
